id,prd_name,price
288,Mustard - Dijon,32.39
289,Carbonated Water - Strawberry,31.7
290,Lid - 3oz Med Rec,57.82
291,Sprouts - Bean,42.68
292,Table Cloth 54x72 White,68.37
293,Thyme - Dried,93.06
294,Bar - Granola Trail Mix Fruit Nut,89.92
295,"Napkin - Beverge, White 2 - Ply",68.94
296,Galliano,82.41
297,Shrimp - 31/40,79.94
298,Chicken Giblets,6.06
299,Pastry - Lemon Danish - Mini,19.22
300,"Chicken - Diced, Cooked",53.31
301,"Club Soda - Schweppes, 355 Ml",46.89
302,Magnotta - Bel Paese White,25.94
303,Veal - Insides Provini,43.97
304,Cup - Translucent 7 Oz Clear,73.63
305,Wine - Conde De Valdemar,36.59
306,Cleaner - Bleach,2.07
307,Beer - Pilsner Urquell,81.38
308,Table Cloth 72x144 White,23.01
309,Cheese - Ricotta,21.49
310,"Star Anise, Whole",85.18
311,Lettuce - Lambs Mash,15.37
312,Squash - Guords,33.48
313,Remy Red Berry Infusion,76.84
314,Potatoes - Peeled,30.23
315,Cheese - Fontina,98.24
316,Bread - Hot Dog Buns,14.37
317,Capon - Whole,15.27
318,Quinoa,59.1
319,Garlic - Elephant,37.33
320,Wine - Spumante Bambino White,22.43
321,Caviar - Salmon,84.9
322,Turkey Leg With Drum And Thigh,95.06
323,Salmon - Canned,94.36
324,"Tortillas - Flour, 12",26.35
325,Pepper Squash,96.11
326,Sausage - Chorizo,54.89
327,Sandwich Wrap,72.66
328,Bread Fig And Almond,3.7
329,Catfish - Fillets,64.55
330,Chips - Doritos,3.09
331,Remy Red,67.6
332,Carbonated Water - Strawberry,86.51
333,Lotus Root,26.82
334,Mix - Cocktail Strawberry Daiquiri,36.39
335,"Spoon - Soup, Plastic",20.12
336,Puree - Strawberry,48.72
337,Beef - Inside Round,72.78
338,Ginger - Crystalized,85.43
339,Cheese - Pied De Vents,23.01
340,"Wine - Harrow Estates, Vidal",16.97
341,Hot Chocolate - Individual,22.79
342,Appetizer - Southwestern,72.01
343,Table Cloth 54x72 White,5.65
344,Syrup - Monin - Granny Smith,58.27
345,"Gingerale - Schweppes, 355 Ml",58.75
346,Rice - Wild,2.77
347,Soup Campbells Split Pea And Ham,38.66
348,"Juice - Pineapple, 341 Ml",50.59
349,Appetizer - Tarragon Chicken,58.01
350,Beer - Tetleys,99.31
351,Glycerine,63.71
352,Liqueur - Melon,77.36
353,"Wine - White, Ej Gallo",53.99
354,Wine La Vielle Ferme Cote Du,1.03
355,Calaloo,33.65
356,Apple - Northern Spy,92.15
357,Chips - Doritos,21.35
358,Syrup - Kahlua Chocolate,4.62
359,Melon - Watermelon Yellow,23.82
360,Nantucket - Orange Mango Cktl,29.78
361,Pastry - Lemon Danish - Mini,35.03
362,Berry Brulee,68.47
363,"Vermouth - Sweet, Cinzano",81.57
364,Wine - Zinfandel Rosenblum,67.69
365,Yoplait - Strawbrasp Peac,22.77
366,Tea - Camomele,23.65
367,Nori Sea Weed,52.81
368,Sesame Seed Black,8.33
369,Sour Puss - Tangerine,61.26
370,Cookie Trail Mix,26.33
371,"Lobster - Baby, Boiled",33.98
372,"Bread - Roll, Soft White Round",40.83
373,Wine - Tio Pepe Sherry Fino,33.77
374,Honey - Comb,71.33
375,"Salsify, Organic",59.5
376,Pork - Liver,76.28
377,Straws - Cocktale,55.76
378,Sour Cream,70.52
379,Cheese - Grie Des Champ,74.38
380,Rabbit - Whole,50.84
381,Paper Cocktail Umberlla 80 - 180,65.56
382,Carbonated Water - Blackberry,84.15
383,Ecolab - Ster Bac,43.75
384,Beef - Short Ribs,18.69
385,Wine - Carmenere Casillero Del,24.42
386,Sugar - Monocystal / Rock,17.21
387,Tart - Butter Plain Squares,96.31
388,Beans - Fava Fresh,42.93
389,Table Cloth 54x54 White,4.12
390,Pastry - Choclate Baked,23.61
391,Yeast Dry - Fleischman,9.9
392,"Pasta - Lasagne, Fresh",89.74
393,Crackers - Melba Toast,84.26
394,Jolt Cola - Electric Blue,22.49
395,Dc Hikiage Hira Huba,79.12
396,Chicken - Soup Base,87.59
397,Wine - Rioja Campo Viejo,33.89
398,Garbage Bags - Black,88.39
399,Wine - Winzer Krems Gruner,75.4
400,Cheese - Gouda,5.24
401,Bandage - Flexible Neon,89.22
402,"Oil - Truffle, Black",88.47
403,Mix - Cappucino Cocktail,4.29
404,"Wine - White, Concha Y Toro",97.22
405,Oil - Hazelnut,27.98
406,"Tomatoes - Vine Ripe, Red",35.12
407,"Wine - Red, Gallo, Merlot",71.46
408,Milk 2% 500 Ml,12.93
409,"Carrots - Purple, Organic",70.38
410,"Beef - Ox Tail, Frozen",36.8
411,True - Vue Containers,39.16
412,Tuna - Fresh,40.24
413,Jagermeister,72.7
414,Long Island Ice Tea,9.75
415,Oil - Macadamia,77.05
416,Extract - Rum,80.42
417,Bagel - Ched Chs Presliced,53.44
418,"Pasta - Detalini, White, Fresh",27.5
419,Grand Marnier,23.75
420,Soup - French Can Pea,55.61
421,Carbonated Water - Wildberry,93.13
422,Spinach - Frozen,50.23
423,"Doilies - 8, Paper",53.44
424,Sprouts - Peppercress,85.54
425,Cake - Mini Potato Pancake,51.92
426,Vegetable - Base,87.15
427,Eggwhite Frozen,49.22
428,"Beef - Tongue, Fresh",90.0
429,Bread - Assorted Rolls,75.86
430,"Pork - Chop, Frenched",52.81
431,Nantuket Peach Orange,94.16
432,Dehydrated Kelp Kombo,86.94
433,"Jam - Blackberry, 20 Ml Jar",27.06
434,Wine - Chardonnay Mondavi,96.44
435,"Chilli Paste, Ginger Garlic",79.39
436,Tomatoes - Hot House,63.77
437,Muffin Hinge Container 6,3.95
438,Galliano,43.56
439,Steampan - Foil,6.47
440,Chicken - Tenderloin,92.91
441,Latex Rubber Gloves Size 9,62.4
442,Milk - 2% 250 Ml,65.63
443,"Wine - Red, Pelee Island Merlot",66.46
444,Jerusalem Artichoke,86.35
445,Nut - Pumpkin Seeds,10.66
446,"Sauce - Black Current, Dry Mix",74.68
447,Cloves - Ground,19.41
448,Lotus Rootlets - Canned,51.15
449,Mushroom - King Eryingii,21.56
450,"Chilli Paste, Hot Sambal Oelek",86.39
451,"Tart Shells - Savory, 3",97.97
452,"Chocolate - Pistoles, Lactee, Milk",1.36
453,Cake - Bande Of Fruit,74.93
454,Hersey Shakes,21.97
455,Beer - Paulaner Hefeweisse,43.44
456,Cheese - Feta,38.72
457,"Beef - Tongue, Cooked",9.65
458,Huck Towels White,8.64
459,Sugar - Monocystal / Rock,84.58
460,Coconut - Whole,82.47
461,Lobster - Cooked,5.02
462,Potatoes - Idaho 80 Count,68.08
463,"Pasta - Rotini, Dry",15.7
464,Steel Wool,91.79
465,Lamb Leg - Bone - In Nz,79.64
466,"Shrimp - 16/20, Iqf, Shell On",97.32
467,Table Cloth 53x69 White,23.63
468,Wine - Barossa Valley Estate,82.15
469,"Juice - Tomato, 10 Oz",20.91
470,"Lemonade - Natural, 591 Ml",24.54
471,Glaze - Clear,71.56
472,Longos - Chicken Caeser Salad,40.67
473,Juice - Propel Sport,91.68
474,Soup - Verve - Chipotle Chicken,98.57
475,"Sauce - White, Mix",60.66
476,Muffin Mix - Lemon Cranberry,16.15
477,Pumpkin,9.12
478,Worcestershire Sauce,4.22
479,Muffin - Banana Nut Individual,18.71
480,Table Cloth 81x81 White,41.43
481,Apple - Granny Smith,10.63
482,"Pail - 15l White, With Handle",60.09
483,Cheese - Comtomme,45.89
484,"Chocolate - Milk, Callets",76.55
485,"Jam - Marmalade, Orange",17.91
486,Lettuce - Boston Bib - Organic,93.21
487,Chinese Foods - Thick Noodles,34.43
488,Cream Of Tartar,50.68
489,"Beef - Tongue, Fresh",45.92
490,Bananas,5.13
491,Towels - Paper / Kraft,36.42
492,Wine - Barolo Fontanafredda,99.63
493,Salt And Pepper Mix - White,91.2
494,"Bread - Rolls, Rye",53.37
495,Bread - Pain Au Liat X12,45.15
496,"Rum - Coconut, Malibu",17.92
497,Pastry - Raisin Muffin - Mini,20.74
498,Beans - Kidney White,77.95
499,Herb Du Provence - Primerba,55.76
500,"Coke - Classic, 355 Ml",98.71
501,"Juice - Cranberry, 341 Ml",45.94
502,"Shrimp, Dried, Small / Lb",64.82
503,Wine - Chianti Classica Docg,16.36
504,Milk - Homo,26.03
505,Sugar - White Packet,90.11
506,Banana,1.3
507,Chutney Sauce - Mango,85.43
508,"Juice - Clamato, 341 Ml",89.58
509,"Cheese - Cheddar, Mild",19.12
510,Wine - Coteaux Du Tricastin Ac,17.86
511,Bread - Sour Sticks With Onion,5.15
512,Calypso - Lemonade,73.68
513,Steampan Lid,11.39
514,Bandage - Flexible Neon,22.29
515,"Juice - Pineapple, 48 Oz",33.98
516,Chip - Potato Dill Pickle,31.75
517,Cheese - Marble,78.02
518,Dc - Sakura Fu,74.14
519,Foil - Round Foil,11.84
520,Sprouts - Corn,99.49
521,Wine - Cave Springs Dry Riesling,76.43
522,Tea - Camomele,51.27
523,Soup Bowl Clear 8oz92008,45.56
524,Soup Campbells Turkey Veg.,10.12
525,Cornflakes,48.92
526,Containter - 3oz Microwave Rect.,1.77
527,Appetizer - Shrimp Puff,98.06
528,Cheese - Gorgonzola,64.69
529,Cheese - Ricotta,45.21
530,"Octopus - Baby, Cleaned",70.75
531,Carbonated Water - Raspberry,79.65
532,Tea - Earl Grey,84.97
533,"Gingerale - Schweppes, 355 Ml",50.19
534,Cheese - Gorgonzola,36.06
535,Chocolate Bar - Smarties,97.99
536,Coffee - Hazelnut Cream,33.64
537,"Wine - White, Mosel Gold",27.98
538,Chinese Foods - Cantonese,16.74
539,"Salt - Rock, Course",50.66
540,Lettuce - Boston Bib - Organic,2.37
541,Ice Cream - Chocolate,94.95
542,Chicken - Base,92.71
543,Mousse - Mango,88.63
544,Fireball Whisky,75.72
545,Foil Wrap,27.15
546,Cup - Paper 10oz 92959,12.32
547,"Salmon - Atlantic, Skin On",94.51
548,"Pasta - Rotini, Colour, Dry",23.4
549,Versatainer Nc - 9388,95.79
550,Beef - Ox Tongue,50.14
551,Beans - Soya Bean,53.97
552,Wine - Sauvignon Blanc Oyster,83.28
553,Muskox - French Rack,60.98
554,Sage Derby,69.75
555,Cumin - Whole,73.82
556,Lighter - Bbq,22.28
557,Icecream - Dstk Strw Chseck,2.17
558,"Flour - Buckwheat, Dark",62.84
559,"Salmon - Atlantic, Skin On",3.96
560,Butter Sweet,20.55
561,Muffin - Zero Transfat,48.61
562,Cookie Choc,89.59
563,Truffle Cups - Red,72.12
564,Cheese - Cream Cheese,51.52
565,Goat - Whole Cut,9.39
566,Fib N9 - Prague Powder,14.2
567,Scallops - U - 10,51.15
568,"Soup - Knorr, Classic Can. Chili",95.23
569,Carbonated Water - Lemon Lime,39.13
570,Alize Gold Passion,60.27
571,Flour Pastry Super Fine,30.6
572,Coffee - Cafe Moreno,69.8
573,Cucumber - English,91.21
574,"Pork - Loin, Center Cut",38.35
575,Juice - Happy Planet,31.28
576,Wild Boar - Tenderloin,49.66
577,Sausage - Liver,52.79
578,Pork - European Side Bacon,37.05
579,Tea - English Breakfast,92.05
580,Butter Sweet,89.83
581,Venison - Denver Leg Boneless,83.72
582,Wine - Niagara Peninsula Vqa,88.93
583,Pears - Anjou,26.55
584,Salmon Steak - Cohoe 8 Oz,35.3
585,Milk - Condensed,50.74
586,Bonito Flakes - Toku Katsuo,93.46
587,Dc Hikiage Hira Huba,45.83
588,Dill Weed - Dry,20.36
589,Spice - Chili Powder Mexican,54.64
590,Clams - Canned,99.78
591,Juice - Orange 1.89l,5.27
592,Ham Black Forest,10.44
593,Gooseberry,26.02
594,"Coffee - Beans, Whole",33.55
595,Dr. Pepper - 355ml,6.73
596,"Pail - 15l White, With Handle",31.66
597,Lettuce - Sea / Sea Asparagus,72.3
598,Bread Crumbs - Japanese Style,47.93
599,Corn Meal,89.84
600,Squash - Acorn,52.82
601,Appetizer - Escargot Puff,11.98
602,"Lemonade - Island Tea, 591 Ml",58.73
603,Yoplait - Strawbrasp Peac,82.31
604,Lettuce Romaine Chopped,30.05
605,Shrimp - Prawn,1.42
606,"Turnip - White, Organic",1.84
607,Godiva White Chocolate,10.17
608,Wine - Lou Black Shiraz,13.59
609,Olives - Nicoise,65.55
610,Goldschalger,17.45
611,Glycerine,14.1
612,Wine - Conde De Valdemar,43.45
613,Coffee - Dark Roast,12.56
614,"Lamb - Racks, Frenched",6.41
615,Petite Baguette,19.04
616,"Butter - Salted, Micro",23.14
617,Pork - Shoulder,22.38
618,Nougat - Paste / Cream,76.43
619,Crab - Soft Shell,29.2
620,Carbonated Water - Strawberry,78.07
621,"Bag - Bread, White, Plain",57.76
622,"Ice - Clear, 300 Lb For Carving",22.71
623,Pail For Lid 1537,77.69
624,Danishes - Mini Cheese,35.14
625,Chickhen - Chicken Phyllo,37.44
626,Cake - Sheet Strawberry,40.24
627,"Vermouth - White, Cinzano",29.18
628,Energy Drink,26.51
629,Higashimaru Usukuchi Soy,49.88
630,Wine - Vineland Estate Semi - Dry,50.61
631,"Tabasco Sauce, 2 Oz",90.81
632,Rabbit - Saddles,17.83
633,Greens Mustard,34.6
634,Port - 74 Brights,44.19
635,Sugar - Cubes,67.17
636,Bread - Kimel Stick Poly,44.82
637,"Tortillas - Flour, 12",75.35
638,Corn Syrup,51.53
639,Spinach - Baby,65.69
640,"Cheese - Boursin, Garlic / Herbs",71.92
641,Cheese - Swiss,96.65
642,"Wine - Sherry Dry Sack, William",99.18
643,Puree - Mocha,65.05
644,Ecolab Silver Fusion,47.08
645,Ice Cream Bar - Oreo Cone,63.89
646,Wine - Fontanafredda Barolo,88.36
647,Basil - Thai,21.98
648,Greens Mustard,47.34
649,Clams - Canned,45.51
650,Nori Sea Weed,79.44
651,White Baguette,91.69
652,"Salmon - Smoked, Sliced",99.86
653,"Nut - Cashews, Whole, Raw",85.71
654,Soup - Campbellschix Stew,63.14
655,Truffle Cups - White Paper,56.21
656,Cheese - St. Andre,61.75
657,Mussels - Frozen,77.18
658,"Cup - 3.5oz, Foam",33.54
659,Bread - Assorted Rolls,90.17
660,"Wine - Red, Lurton Merlot De",65.8
661,"Nut - Almond, Blanched, Sliced",38.79
662,"Water - Mineral, Natural",43.67
663,Ginsing - Fresh,48.51
664,Seedlings - Clamshell,66.4
665,Tea - Lemon Green Tea,30.67
666,Wine - Crozes Hermitage E.,51.57
667,Nestea - Iced Tea,71.21
668,Bagelers,42.58
669,Sprouts - China Rose,77.46
670,Ice Cream - Strawberry,99.1
671,"Beef - Outside, Round",84.75
672,Puree - Mocha,2.87
673,Bread - Ciabatta Buns,99.38
674,Langers - Mango Nectar,58.68
675,Wine - Beaujolais Villages,51.05
676,Sambuca - Ramazzotti,29.09
677,Basil - Thai,47.59
678,Soup - Campbells Bean Medley,53.07
679,Almonds Ground Blanched,22.2
680,Plastic Wrap,59.23
681,Puree - Guava,60.49
682,Soup - Campbells Broccoli,35.9
683,"Flour - Corn, Fine",68.14
684,Mushroom - Porcini Frozen,18.62
685,Crackers - Trio,76.34
686,Soup - Campbells Chili,63.22
687,Savory,15.47
688,Ice Cream Bar - Rolo Cone,7.72
689,Sprouts - Brussel,12.37
690,Lettuce - Sea / Sea Asparagus,77.92
691,Chives - Fresh,47.23
692,Mousse - Banana Chocolate,24.71
693,Duck - Whole,50.32
694,"Carrots - Mini, Stem On",20.38
695,Tomato Paste,87.42
696,Bagel - Sesame Seed Presliced,5.2
697,Liquid Aminios Acid - Braggs,52.28
698,Appetizer - Sausage Rolls,1.57
699,Lamb Rack Frenched Australian,76.78
700,Wine - Ruffino Chianti,21.02
701,Sauce - Balsamic Viniagrette,60.85
702,Flavouring - Orange,16.94
703,Ham - Cooked Italian,23.42
704,Lid Tray - 12in Dome,19.3
705,Calvados - Boulard,14.75
706,Compound - Raspberry,96.63
707,"Soup - Knorr, Veg / Beef",22.1
708,Appetizer - Lobster Phyllo Roll,82.63
709,Cassis,24.94
710,"Beef - Cooked, Corned",42.47
711,"Apple - Delicious, Golden",67.31
712,Grapes - Red,24.54
713,Pepper - Chili Powder,97.49
714,Wine - Cave Springs Dry Riesling,44.41
715,Pants Custom Dry Clean,9.9
716,Plastic Wrap,26.64
717,"Wine - Red, Black Opal Shiraz",76.36
718,Cake - Pancake,6.37
719,Mix Pina Colada,88.85
720,Muffin - Zero Transfat,66.68
721,Flower - Potmums,62.1
722,Table Cloth 62x120 White,14.08
723,"Soup - Campbells, Classic Chix",46.51
724,Tarts Assorted,64.2
725,Marjoram - Fresh,27.43
726,Crab - Meat Combo,2.54
727,"Beans - Kidney, Red Dry",22.23
728,Kale - Red,74.29
729,"Beef - Roasted, Cooked",11.86
730,Squid - Tubes / Tenticles 10/20,19.1
731,Flour Dark Rye,99.88
732,Island Oasis - Magarita Mix,4.85
733,"Asparagus - Green, Fresh",8.43
734,Towel Multifold,11.8
735,Vector Energy Bar,1.68
736,Cookie - Dough Variety,89.6
737,"Coke - Diet, 355 Ml",51.55
738,"Mushroom - Shitake, Dry",3.1
739,Honey - Comb,40.8
740,"Bag - Bread, White, Plain",35.32
741,Basil - Pesto Sauce,16.91
